,DateString,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Symbol,SwHL,Peak,Consol_Detected,Consol_LHS_Price,Consol_Len_Bars,Consol_Depth_Percent,Close_21_bar_ema,Close_50_bar_sma,Close_150_bar_sma,Close_200_bar_sma,RSL,RSL_NH,DayOfWeek,RS,RS_New_High,52_week_low,52_week_high,Stage 2
220,2024-02-07,83.11676,83.50525,82.45931,83.415596,2975704.8,247397620.0,83.74,0.0,DELL,0,0,False,0.0,0,0.0,81.67178842539224,76.48490234375,67.28408121744792,62.06252309799194,0.016699618,False,2,91,False,,,False
221,2024-02-08,83.2861,84.81017,83.186485,84.47149,3005518.2,253401870.0,84.8,0.0,DELL,0,0,False,0.0,0,0.0,81.92630665514173,76.69749893188477,67.4959763844808,62.275894451141355,0.016901363,False,3,91,False,,,False
222,2024-02-09,84.91975,86.31432,84.68068,85.866066,2324693.8,199416860.0,86.2,0.0,DELL,0,0,False,0.0,0,0.0,82.28446659367465,76.94651565551757,67.71893150329589,62.50098838806152,0.017082302,False,4,91,False,,,False
223,2024-02-12,86.1649,86.55339,85.4975,86.28444,2990706.8,257524160.0,86.62,0.0,DELL,1,0,False,0.0,0,0.0,82.64810045669641,77.18347091674805,67.9359272257487,62.72837005615234,0.017181838,False,0,92,False,,,False
224,2024-02-13,84.65578,84.854996,83.12672,83.65467,3156685.8,264120860.0,83.98,0.0,DELL,-1,0,False,0.0,0,0.0,82.73960684384511,77.35176528930664,68.12971110026042,62.937069740295414,0.016889118,False,1,92,False,,,False
225,2024-02-14,84.73048,85.89595,84.3918,85.70669,2370498.2,202418770.0,86.04,0.0,DELL,1,0,False,0.0,0,0.0,83.00934148779065,77.63924575805665,68.34742530822754,63.15265085220337,0.017139211,False,2,92,False,,,False
226,2024-02-15,85.14886,85.577194,82.10071,82.39955,4435681.5,367524480.0,82.72,0.0,DELL,0,0,False,0.0,0,0.0,82.95390602450074,77.91235000610351,68.53349461873373,63.35008043289184,0.0163825,False,3,92,False,,,False
227,2024-02-16,82.9773,84.98947,82.46928,83.88377,4860579.5,407547520.0,84.21,0.0,DELL,0,0,False,0.0,0,0.0,83.03843945897438,78.21573364257813,68.73089508056641,63.55032833099365,0.016758086,False,4,92,False,,,False
228,2024-02-20,83.55505,83.66463,80.90536,82.14056,3123161.0,256308580.0,82.46,0.0,DELL,0,0,False,0.0,0,0.0,82.95681372047208,78.51717727661133,68.92137479146322,63.7399015045166,0.016508972,False,1,93,False,,,False
229,2024-02-21,80.97509,81.49307,80.178185,81.0747,3378372.8,273052480.0,81.39,0.0,DELL,-1,-1,False,0.0,0,0.0,82.78571241877967,78.7782632446289,69.11042882283529,63.92894403457642,0.016274178,False,2,93,False,,,False
230,2024-02-22,85.62699,88.77476,85.06917,87.449905,8316332.0,728293800.0,87.79,0.0,DELL,0,0,False,0.0,0,0.0,83.20972996211859,79.16467163085937,69.33891571044921,64.14393774032592,0.01719076,False,3,93,False,,,False
231,2024-02-23,88.71001,92.32096,87.659096,89.999985,7024502.5,629955500.0,90.35,0.0,DELL,0,0,False,0.0,0,0.0,83.82702585112699,79.59137130737305,69.58897328694661,64.36859699249267,0.017685896,True,4,94,False,,,False
232,2024-02-26,92.2612,94.62201,91.444374,92.410614,8207190.0,763698050.0,92.77,0.0,DELL,1,0,False,0.0,0,0.0,84.60735204772199,80.05140808105469,69.8553628540039,64.60550525665283,0.018228637,True,0,94,False,,,False
233,2024-02-27,92.639725,93.11787,90.37852,91.2053,5910985.0,539618370.0,91.56,0.0,DELL,-1,0,False,0.0,0,0.0,85.20716544133285,80.4897184753418,70.11016695658365,64.83712142944336,0.017960234,False,1,94,False,,,False
